"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL[1]",-0.921247225933955,0.437123477797174,-1.91697599180219,-1.16759064372608,-0.878449657731681,-0.619096142257716,-0.199366976769534,1.00101899168148,49000
"LL[2]",-0.376657918064294,0.368101949871413,-1.23939255515667,-0.56699370773173,-0.330212134935063,-0.129597140269292,0.202077029810851,1.00099317669581,1e+05
"LL[3]",-0.938122124346692,0.437007514360799,-1.93100453781209,-1.18549850924854,-0.89089106714922,-0.638953016003005,-0.215470472717694,1.00099087911352,1e+05
"LL[4]",-0.633729381491063,0.444859215573113,-1.67756451755638,-0.882146788903954,-0.573963334849429,-0.321773376451726,0.0690633756971656,1.00099313214758,1e+05
"LL[5]",-0.703236046534196,0.343769234721091,-1.43591289375841,-0.920967462436232,-0.68473808972962,-0.465034828482583,-0.085989605086829,1.00099823153231,1e+05
"LL[6]",-0.334553339079505,0.328010238828307,-1.07397441793148,-0.524650878261717,-0.302726045387859,-0.108520232639676,0.221303524550781,1.00099017753833,1e+05
"LL[7]",-0.251617646267176,0.284431543118054,-0.867748971105483,-0.424904778310439,-0.232073945340682,-0.0554344983264793,0.250400451658886,1.00098896119081,1e+05
"LL[8]",-0.334615379267421,0.315729464937932,-1.0407100615583,-0.518404588134461,-0.307778527704,-0.116261514576028,0.199911944020538,1.00098859961578,1e+05
"LL[9]",-0.795861101297942,0.371276659144331,-1.59854057319975,-1.02211447773342,-0.770268069904808,-0.539336217064654,-0.1436629462465,1.00099999261752,1e+05
"LL[10]",-0.78467990349747,0.492631903437396,-1.93457303872029,-1.0570830713604,-0.718728123370284,-0.439045589111409,-0.00981404949965677,1.00099031291358,1e+05
"LL[11]",-0.492391162701001,0.382726345095555,-1.36881083066105,-0.708280010759528,-0.44896465740883,-0.227495209001798,0.134651223367919,1.00098853980175,1e+05
"LL[12]",-0.625776244900607,0.430084168847586,-1.62030407113662,-0.864818996144432,-0.572967304858309,-0.324170753912577,0.0581750351170955,1.00102040993276,47000
"LL[13]",-1.84900102217438,0.659829283486745,-3.32406940736159,-2.23824996669604,-1.78157181351128,-1.38737423943816,-0.748727187244305,1.00099491697846,1e+05
"LL[14]",-1.79463784361051,0.795231980277285,-3.7057193581287,-2.2148391760642,-1.66671080726745,-1.23928518560041,-0.599695057469226,1.00098987547001,1e+05
"LL[15]",-0.489193240582957,0.448435159964265,-1.58190936796975,-0.696377992563633,-0.416458482107929,-0.193703069660777,0.159620664952027,1.00099231378406,1e+05
"LL[16]",-0.451014139571354,0.434300201370183,-1.51458796963483,-0.653509033208095,-0.382977423515541,-0.164232428822764,0.182586762884509,1.00098884560594,1e+05
"LL[17]",-1.25225535721477,0.789847575965325,-3.11255719546176,-1.6867248504004,-1.13283237437815,-0.688912568085392,-0.0602582402448988,1.00101857896953,50000
"LL[18]",-0.461459046237703,0.444664170220869,-1.54970843891433,-0.666006333697324,-0.388772397669292,-0.168736533566388,0.181713442702215,1.00100322855141,1e+05
"LL[19]",-0.379522620429214,0.380595051570137,-1.29369078461052,-0.574001512275859,-0.327249880652677,-0.120260451131033,0.210573859030041,1.00098909131395,1e+05
"LL[20]",-0.470341517033222,0.444136307156477,-1.56690234372287,-0.686208227146298,-0.399090333936244,-0.168162501559662,0.18288206050767,1.00099011169724,1e+05
"LL[21]",-0.87203766339173,0.467090258910087,-1.96560835348874,-1.11284608327814,-0.813059937846287,-0.556979490296519,-0.140735713856558,1.00101718345781,52000
